Layer_Impact_on_Layers,ZTA1_User,ZTA2_Device,ZTA3_Network,ZTA4_Infrastructure,ZTA5_Application,ZTA6_Data
ZTA1User,PRIMARY,SECONDARY,TERTIARY,TERTIARY,SECONDARY,SECONDARY
ZTA2Device,TERTIARY,PRIMARY,SECONDARY,SECONDARY,TERTIARY,TERTIARY
ZTA3Network,TERTIARY,TERTIARY,PRIMARY,SECONDARY,SECONDARY,SECONDARY
ZTA4Infrastructure,TERTIARY,TERTIARY,SECONDARY,PRIMARY,SECONDARY,SECONDARY
ZTA5Application,SECONDARY,TERTIARY,TERTIARY,TERTIARY,PRIMARY,SECONDARY
ZTA6Data,SECONDARY,TERTIARY,TERTIARY,TERTIARY,SECONDARY,PRIMARY
